,title,
,"Happy - From ""Despicable Me 2""",
,Rude,
,Shake It Off,
,Dark Horse,
,Hey Brother,
,Maps,
,Treasure,
,Let Her Go,
,Problem,
,Pompeii,
,Team,
,Love Me Again,
,Latch,
,Adore You,
,Love Never Felt So Good,
,Burn,
,She Looks So Perfect,
,Fancy,
,Talk Dirty (feat. 2 Chainz),
,Gorilla,
,human,
,Young Girls,
,Wiggle (feat. Snoop Dogg),
,Love Runs Out,
,This Is How We Do,
,Mmm Yeah (feat. Pitbull),
,A Little Party Never Killed Nobody (All We Got),
,#SELFIE,
,Partition,
,Birthday,
,G.U.Y.,
,Stay The Night - Featuring Hayley Williams Of Paramore,
,"Let It Go - From ""Frozen / Single Version",
,Wings,
,Can't Remember to Forget You (feat. Rihanna),
,Shot Me Down (feat. Skylar Grey) - Radio Edit,
,Say Something,
,A Sky Full of Stars,
,Come Get It Bae,
,Chandelier,
,XO,
,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],
,Not About Angels,
,Drunk in Love,
,Anaconda,
,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr�ter,
,La La La (Brasil 2014) (feat. Carlinhos Brown),
,Tee Shirt - Soundtrack Version,
,Words as Weapons,
,You're Mine (Eternal),
,Sheezus,
,Cannonball,
,It's On Again - Main Soundtrack,
,I Luh Ya Papi,
,Not a Bad Thing,
,Thinking out Loud,
,I'm Not The Only One,
,The Hills,
,Love Yourself,
,Uptown Funk,
,Take Me To Church,
,Sugar,
,Sorry,
,FourFiveSeconds,
,"Love Me Like You Do - From ""Fifty Shades Of Grey""",
,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",
,What Do You Mean?,
,Stitches,
,Want to Want Me,
,My House,
,Waves - Robin Schulz Radio Edit,
,Night Changes,
,How Deep Is Your Love,
,Never Forget You,
,Love Me Harder,
,Animals,
,Blame,
,Worth It,
,Break Free,
,Don't,
,Elastic Heart,
,Rather Be (feat. Jess Glynne),
,Hello,
,Dear Future Husband,
,43776,
,The Heart Wants What It Wants,
,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",
,Genie In a Bottle,
,Company,
,Sing,
,Jealous - Remix,
,Really Don't Care,
,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",
,Only Love Can Hurt Like This,
,Heartbeat Song,
